date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:17	8368/8368	---M--	200	added ('OK')	text/html	etag:%22482fa401-20b0-444b943ebad80%22	http://the-gammons.net/html/petzold.html	websites/the-gammons.net/the-gammons.net/html/petzold.html	(from http://the-gammons.net/)
17:19:17	351/351	---M--	200	added ('OK')	image/gif	etag:%224026f141-15f-444b950ea1800%22	http://the-gammons.net/assets/images/autogen/Petzold_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Petzold_Np1.gif	(from http://the-gammons.net/)
17:19:17	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:17%20GMT	http://the-gammons.net/Petzold_NRp2.gif	websites/the-gammons.net/the-gammons.net/Petzold_NRp2.gif	(from http://the-gammons.net/)
17:19:17	8360/8360	---M--	200	added ('OK')	text/html	etag:%22482fa3f7-20a8-444b94380ddc0%22	http://the-gammons.net/html/beyer.html	websites/the-gammons.net/the-gammons.net/html/beyer.html	(from http://the-gammons.net/)
17:19:17	330/330	---M--	200	added ('OK')	image/gif	etag:%224026ef0a-14a-444b951fcc080%22	http://the-gammons.net/assets/images/autogen/Beyer_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Beyer_Np1.gif	(from http://the-gammons.net/)
17:19:18	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:17%20GMT	http://the-gammons.net/Beyer_NRp2.gif	websites/the-gammons.net/the-gammons.net/Beyer_NRp2.gif	(from http://the-gammons.net/)
17:19:18	8372/8372	---M--	200	added ('OK')	text/html	etag:%22482fa3fe-20b4-444b943aea480%22	http://the-gammons.net/html/jaguttis.html	websites/the-gammons.net/the-gammons.net/html/jaguttis.html	(from http://the-gammons.net/)
17:19:18	348/348	---M--	200	added ('OK')	image/gif	etag:%224026ef32-15c-444b9534c7200%22	http://the-gammons.net/assets/images/autogen/Jaguttis_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Jaguttis_Np1.gif	(from http://the-gammons.net/)
17:19:18	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:18%20GMT	http://the-gammons.net/Jaguttis_NRp2.gif	websites/the-gammons.net/the-gammons.net/Jaguttis_NRp2.gif	(from http://the-gammons.net/)
17:19:18	10821/10821	---M--	200	added ('OK')	text/html	etag:%22482fa400-2a45-483f97fcdc188%22	http://the-gammons.net/html/links.html	websites/the-gammons.net/the-gammons.net/html/links.html	(from http://the-gammons.net/)
